date,location_name,proxy_hosp_continuous
2004-04-24,US,0.0
2004-05-01,US,0.0
2004-05-08,US,0.0
2004-05-15,US,0.0
2004-05-22,US,0.0
2004-05-29,US,0.0
2004-06-05,US,99.5681235
2004-06-12,US,0.0
2004-06-19,US,0.0
2004-06-26,US,0.0
2004-07-03,US,0.0
2004-07-10,US,0.0
2004-07-17,US,33.1893745
2004-07-24,US,0.0
2004-07-31,US,0.0
2004-08-07,US,0.0
2004-08-14,US,165.9468725
2004-08-21,US,0.0
2004-08-28,US,66.378749
2004-09-04,US,497.8406175
2004-09-11,US,99.5681235
2004-09-18,US,331.893745
2004-09-25,US,265.514996
2004-10-02,US,464.651243
2004-10-09,US,165.9468725
2004-10-16,US,630.5981155
2004-10-23,US,796.544988
2004-10-30,US,1128.4387330000002
2004-11-06,US,1360.7643544999999
2004-11-13,US,1825.4155975
2004-11-20,US,1759.0368485
2004-11-27,US,2787.907458
2004-12-04,US,2124.119968
2004-12-11,US,2356.4455895
2004-12-18,US,2854.286207
2004-12-25,US,4613.323055499999
2005-01-01,US,5642.193665
2005-01-08,US,4546.9443065000005
2005-01-15,US,4646.51243
2005-01-22,US,5542.6255415
2005-01-29,US,6803.8217725
2005-02-05,US,8795.1842425
2005-02-12,US,10653.7892145
2005-02-19,US,11052.0617085
2005-02-26,US,9226.646110999998
2005-03-05,US,7799.5030075
2005-03-12,US,7102.526143000001
2005-03-19,US,5874.5192865
2005-03-26,US,5044.784924
2005-04-02,US,3584.4524460000002
2005-04-09,US,2588.7712109999998
2005-04-16,US,2157.3093425
2005-04-23,US,1559.9006015
2005-04-30,US,1393.953729
2005-05-07,US,862.9237370000001
2005-05-14,US,1128.4387330000002
2005-05-21,US,796.544988
2005-05-28,US,763.3556135000001
2005-06-04,US,1559.9006015
2005-06-11,US,597.408741
2005-06-18,US,696.9768645
2005-06-25,US,365.0831195
2005-07-02,US,0.0
2005-07-09,US,0.0
2005-07-16,US,0.0
2005-07-23,US,0.0
2005-07-30,US,0.0
2005-08-06,US,0.0
2005-08-13,US,0.0
2005-08-20,US,0.0
2005-08-27,US,0.0
2005-09-03,US,0.0
2005-09-10,US,0.0
2005-09-17,US,0.0
2005-09-24,US,0.0
2005-10-01,US,0.0
2005-10-08,US,829.7343625
2005-10-15,US,796.544988
2005-10-22,US,995.681235
2005-10-29,US,995.681235
2005-11-05,US,1593.089976
2005-11-12,US,1924.9837209999998
2005-11-19,US,2057.741219
2005-11-26,US,2821.0968325
2005-12-03,US,2456.0137130000003
2005-12-10,US,2987.043705
2005-12-17,US,4082.2930635000002
2005-12-24,US,5642.193665
2005-12-31,US,6704.253648999999
2006-01-07,US,5310.29992
2006-01-14,US,4049.1036889999996
2006-01-21,US,4248.239936
2006-01-28,US,4679.7018044999995
2006-02-04,US,4945.2168005
2006-02-11,US,5476.2467925
2006-02-18,US,6173.2236570000005
2006-02-25,US,6505.117402000001
2006-03-04,US,6239.602406
2006-03-11,US,6106.844908000001
2006-03-18,US,5443.057417999999
2006-03-25,US,4580.133680999999
2006-04-01,US,4115.482438
2006-04-08,US,2920.664956
2006-04-15,US,1991.36247
2006-04-22,US,1095.2493585000002
2006-04-29,US,696.9768645
2006-05-06,US,431.46186850000004
2006-05-13,US,298.7043705
2006-05-20,US,331.893745
2006-05-27,US,132.757498
2006-06-03,US,33.1893745
2006-06-10,US,431.46186850000004
2006-06-17,US,0.0
2006-06-24,US,0.0
2006-07-01,US,0.0
2006-07-08,US,66.378749
2006-07-15,US,232.3256215
2006-07-22,US,165.9468725
2006-07-29,US,0.0
2006-08-05,US,99.5681235
2006-08-12,US,0.0
2006-08-19,US,66.378749
2006-08-26,US,0.0
2006-09-02,US,0.0
2006-09-09,US,597.408741
2006-09-16,US,99.5681235
2006-09-23,US,331.893745
2006-09-30,US,132.757498
2006-10-07,US,1360.7643544999999
2006-10-14,US,763.3556135000001
2006-10-21,US,1028.8706095
2006-10-28,US,1028.8706095
2006-11-04,US,1393.953729
2006-11-11,US,1958.1730954999998
2006-11-18,US,2422.8243385
2006-11-25,US,3418.5055735
2006-12-02,US,3020.2330795
2006-12-09,US,3518.073697
2006-12-16,US,5177.5424219999995
2006-12-23,US,6173.2236570000005
2006-12-30,US,6936.579270499999
2007-01-06,US,4812.4593025
2007-01-13,US,3551.2630715000005
2007-01-20,US,4049.1036889999996
2007-01-27,US,5343.4892945
2007-02-03,US,6206.4130315
2007-02-10,US,6969.768645
2007-02-17,US,7368.041139000001
2007-02-24,US,7168.9048920000005
2007-03-03,US,6040.466159
2007-03-10,US,5509.436166999999
2007-03-17,US,5310.29992
2007-03-24,US,3849.9674419999997
2007-03-31,US,2754.7180834999995
2007-04-07,US,2024.5518444999998
2007-04-14,US,2024.5518444999998
2007-04-21,US,1228.0068565000001
2007-04-28,US,796.544988
2007-05-05,US,431.46186850000004
2007-05-12,US,431.46186850000004
2007-05-19,US,0.0
2007-05-26,US,33.1893745
2007-06-02,US,298.7043705
2007-06-09,US,0.0
2007-06-16,US,0.0
2007-06-23,US,0.0
2007-06-30,US,0.0
2007-07-07,US,0.0
2007-07-14,US,0.0
2007-07-21,US,0.0
2007-07-28,US,0.0
2007-08-04,US,0.0
2007-08-11,US,0.0
2007-08-18,US,0.0
2007-08-25,US,0.0
2007-09-01,US,0.0
2007-09-08,US,0.0
2007-09-15,US,0.0
2007-09-22,US,232.3256215
2007-09-29,US,0.0
2007-10-06,US,829.7343625
2007-10-13,US,1427.1431035
2007-10-20,US,1559.9006015
2007-10-27,US,2024.5518444999998
2007-11-03,US,2323.256215
2007-11-10,US,2588.7712109999998
2007-11-17,US,3020.2330795
2007-11-24,US,3916.3461909999996
2007-12-01,US,3020.2330795
2007-12-08,US,2887.4755815
2007-12-15,US,3219.3693264999997
2007-12-22,US,3750.3993184999995
2007-12-29,US,5476.2467925
2008-01-05,US,4779.269928
2008-01-12,US,4347.8080595
2008-01-19,US,5077.9742985
2008-01-26,US,7500.798636999999
2008-02-02,US,10321.8954695
2008-02-09,US,12744.719808
2008-02-16,US,12977.0454295
2008-02-23,US,12578.7729355
2008-03-01,US,9492.161107
2008-03-08,US,8197.7755015
2008-03-15,US,6671.0642745
2008-03-22,US,5575.814916
2008-03-29,US,4248.239936
2008-04-05,US,3219.3693264999997
2008-04-12,US,2157.3093425
2008-04-19,US,1692.6580995
2008-04-26,US,829.7343625
2008-05-03,US,531.029992
2008-05-10,US,199.136247
2008-05-17,US,464.651243
2008-05-24,US,497.8406175
2008-05-31,US,896.1131115000001
2008-06-07,US,132.757498
2008-06-14,US,132.757498
2008-06-21,US,99.5681235
2008-06-28,US,0.0
2008-07-05,US,0.0
2008-07-12,US,0.0
2008-07-19,US,0.0
2008-07-26,US,0.0
2008-08-02,US,0.0
2008-08-09,US,0.0
2008-08-16,US,0.0
2008-08-23,US,0.0
2008-08-30,US,0.0
2008-09-06,US,0.0
2008-09-13,US,0.0
2008-09-20,US,962.4918604999999
2008-09-27,US,663.78749
2008-10-04,US,630.5981155
2008-10-11,US,663.78749
2008-10-18,US,597.408741
2008-10-25,US,896.1131115000001
2008-11-01,US,1194.817482
2008-11-08,US,1294.3856054999999
2008-11-15,US,1725.8474740000001
2008-11-22,US,1692.6580995
2008-11-29,US,2787.907458
2008-12-06,US,2389.634964
2008-12-13,US,2522.392462
2008-12-20,US,2887.4755815
2008-12-27,US,4546.9443065000005
2009-01-03,US,4148.6718125
2009-01-10,US,2655.14996
2009-01-17,US,2920.664956
2009-01-24,US,3883.1568165
2009-01-31,US,5011.5955495
2009-02-07,US,6305.981155
2009-02-14,US,7567.177385999999
2009-02-21,US,7235.283641
2009-02-28,US,6870.2005215
2009-03-07,US,6505.117402000001
2009-03-14,US,5409.868043500001
2009-03-21,US,4613.323055499999
2009-03-28,US,3584.4524460000002
2009-04-04,US,2953.8543305000003
2009-04-11,US,2522.392462
2009-04-18,US,1792.2262230000001
2009-04-25,US,1692.6580995
